campaign,adset,ad_name,spend,impressions,clicks,link_clicks,lpv,atc,purchases,revenue,roas,cpa,ctr,cvr_click2buy
올영세일_캠페인,올영세일_세트,260302_칼륨 데이팩_설인아 포2개,6222,141,3,2,0,0,0,0,0.0,,0.0142,0.0
올영세일_캠페인,올영세일_세트,260302_칼륨 본품_박스 모임,39426,1320,11,11,1,1,1,28100,0.713,39426,0.0083,0.0909
올영세일_캠페인,올영세일_세트,260302_칼륨 본품_설인아 선글라스,1445,70,1,1,0,0,0,0,0.0,,0.0143,0.0
올영세일_캠페인,올영세일_세트,260302_칼륨 본품_설인아 포,14916,411,6,6,0,0,0,0,0.0,,0.0146,0.0
올영세일_캠페인,올영세일_세트,260302_칼륨 본품_설인아 포2개,11112,376,1,1,0,0,0,0,0.0,,0.0027,0.0
올영세일_캠페인,올영세일_세트,260302_칼륨 본품_설인아 박스,6782,267,6,6,0,0,0,0,0.0,,0.0225,0.0
붓기부스터_캠페인,붓기부스터_세트,260227_붓기부스터_카트라이더,158286,2328,30,27,23,2,1,230000,1.453,158286,0.0116,0.037
붓기파우더_캠페인,붓기파우더_세트,260227_붓기파우더_아직도 운동해?,6915,139,4,4,4,0,0,0,0.0,,0.0288,0.0
붓기파우더_캠페인,붓기파우더_세트,260227_붓기파우더_플라시보,4552,83,1,1,1,0,0,0,0.0,,0.012,0.0
붓기파우더_캠페인,붓기파우더_세트,260227_붓기파우더_과대광고,49398,1172,19,19,19,0,0,0,0.0,,0.0162,0.0
브랜딩_캠페인,브랜딩_세트,260227_브랜딩_속이편한 설인아,4402114,1344123,33262,32942,129099,7,2,281320,0.064,2201057,0.0245,0.0001
붓기파우더_캠페인,붓기파우더_세트,260303_붓기파우더_붓기차단메커니즘,81874,2287,12,11,461,0,0,0,0.0,,0.0048,0.0
붓기파우더_캠페인,붓기파우더_세트,260303_붓기파우더_붓기원천봉쇄,1110336,29782,289,270,451,15,10,796600,0.717,111034,0.0091,0.037
붓기파우더_캠페인,붓기파우더_세트,260303_붓기파우더_붓기원천컨트롤,120844,2517,19,19,15,0,0,0,0.0,,0.0075,0.0
브랜딩_캠페인,브랜딩_세트,250907_브랜딩_미스테리 숏버전,2244,423,25,23,14,0,0,0,0.0,,0.0544,0.0
매거진 구매_캠페인,매거진 구매_세트,260304_릴스 칼륨_사형수,805884,12432,429,408,371,12,6,509800,0.633,134314,0.0328,0.0147
증대기여_캠페인,증대기여_세트,260211_증대_붓파_포가루롤링,2017565,43072,634,588,1320,30,16,1253827,0.621,126098,0.0137,0.0272
증대기여_캠페인,증대기여_세트,260211_증대_붓부_햄찌ver.2 운동,111,5,1,1,1,0,0,0,0.0,,0.2,0.0
251128_캠페인,251128_세트,260220_붓부_리뷰 최저가,496131,7952,78,72,64,8,2,208000,0.419,248066,0.0091,0.0278
마그네슘_캠페인,운동타겟 생애 첫 구매_세트,260305_운동_천연스테로이드,240911,6213,129,124,219,0,0,0,0.0,,0.02,0.0
붓기파우더_캠페인,붓기파우더_세트,251103_붓기파우더_없으면 불안,1559697,39346,337,314,1191,25,14,1186200,0.761,111407,0.008,0.0446
매거진 구매_캠페인,매거진 구매_세트,251124_매거진 칼륨_나트륨 배출,17176248,758999,10419,9899,36925,398,264,16285971,0.948,65062,0.013,0.0267
251128_캠페인,251128_세트,251128_붓기제거정석,1690912,25022,264,252,200,25,14,1670910,0.988,120779,0.0101,0.0556
붓기부스터_캠페인,붓기부스터_세트,251204_붓기부스터_포 아파트,1859839,36570,404,373,387,29,15,1880167,1.011,123989,0.0102,0.0402
매거진 구매_캠페인,매거진 구매_세트,260306_릴스 칼륨_애플 원천봉쇄,5067,179,1,1,1,0,0,0,0.0,,0.0056,0.0
매거진 구매_캠페인,매거진 구매_세트,260306_릴스 칼륨_애플 빠른붓기,9128,329,1,1,1,0,0,0,0.0,,0.003,0.0
251128_캠페인,251128_세트,251128_이것저것 다해봤다면,617871,9455,98,93,575,11,4,675400,1.093,154468,0.0098,0.043
매거진 구매_캠페인,매거진 구매_세트,260306_릴스 칼륨_애플 확실하게,21547,843,7,4,4,0,0,0,0.0,,0.0047,0.0
리타게팅_캠페인,리타게팅_세트,260306_리타게팅_신문,88251,1686,23,21,20,0,0,0,0.0,,0.0125,0.0
리타게팅_캠페인,리타게팅_세트,260306_리타게팅_반값특가,372019,7124,57,52,46,1,0,0,0.0,,0.0073,0.0
리타게팅_캠페인,리타게팅_세트,260306_리타게팅_설인아,146349,2434,28,26,23,1,0,0,0.0,,0.0107,0.0
브랜딩_캠페인,브랜딩_세트,251001_브랜딩_설인아 인스타그램,79858,20860,670,664,437,1,0,0,0.0,,0.0318,0.0
매거진 구매_캠페인,매거진 구매_세트,260306_릴스 붓부_애플 재구매1위,1236,54,1,0,0,0,0,0,0.0,,0.0,
붓기파우더_캠페인,붓기파우더_세트,250924_붓기파우더_나트륨배출_구매,530490,16157,125,122,329,18,6,841910,1.587,88415,0.0076,0.0492
트래픽_캠페인,트래픽_세트,250926_붓기부스터_PA wooinee_트래픽,6799645,624372,45427,33076,232050,8,5,239500,0.035,1359929,0.053,0.0002
매거진 구매_캠페인,매거진 구매_세트,260312_붓기 없음 이슈,85939,1026,28,23,171,2,1,68000,0.791,85939,0.0224,0.0435
매거진 구매_캠페인,매거진 구매_세트,260312_속이 편한 영양제,68336,1065,16,11,67,1,1,170000,2.488,68336,0.0103,0.0909
